idx,specimen,measurement,start_time,end_time
55,FOF2-2,24.1.S.026E,2024-03-19 04:59:48.244978,2024-03-19 04:59:55.844978
56,FOF2-2,24.1.S.026E,2024-03-19 05:00:23.885983,2024-03-19 05:00:31.485983
57,FOF2-2,24.1.S.026E,2024-03-19 05:13:53.284007,2024-03-19 05:15:59.684007
58,FOF2-2,24.1.S.026E,2024-03-19 05:16:04.379011,2024-03-19 05:16:15.129011
59,FOF2-2,24.1.S.026E,2024-03-19 05:16:15.747970,2024-03-19 05:16:57.247970
60,FOF2-2,24.1.S.026E,2024-03-19 05:17:03.467968,2024-03-19 05:17:21.067968
61,FOF2-2,24.1.S.026E,2024-03-19 05:17:26.052960,2024-03-19 05:18:42.902960
62,FOF2-2,24.1.S.026E,2024-03-19 05:18:59.818011,2024-03-19 05:19:06.118011
63,FOF2-2,24.1.S.026E,2024-06-14 20:50:10.894002,2024-06-14 20:50:16.044002
64,FOF2-2,24.1.S.026E,2024-06-14 20:50:26.492992,2024-06-14 20:50:31.642992
65,FOF2-14,24.1.S.027E,2024-03-19 19:26:32.058983,2024-03-19 19:26:39.958983
66,FOF2-14,24.1.S.027E,2024-03-19 19:26:56.314977,2024-03-19 19:27:04.214977
67,FOF2-14,24.1.S.027E,2024-03-19 19:28:43.311983,2024-03-19 19:28:51.211983
68,FOF2-14,24.1.S.027E,2024-03-19 19:28:56.767995,2024-03-19 19:29:04.667995
69,FOF2-14,24.1.S.027E,2024-03-19 19:38:15.890974,2024-03-19 19:38:23.790974
70,FOF2-14,24.1.S.027E,2024-03-19 21:22:38.502026,2024-03-19 21:22:41.052026
71,FOF2-14,24.1.S.027E,2024-03-19 21:40:15.048015,2024-03-19 21:40:17.048015
72,FOF2-14,24.1.S.027E,2024-03-19 21:40:18.698971,2024-03-19 21:40:26.598971
73,FOF2-14,24.1.S.027E,2024-06-14 21:29:38.444991,2024-06-14 21:29:43.594991
74,FOF2-14,24.1.S.027E,2024-06-14 21:29:54.862001,2024-06-14 21:30:00.012001
75,FOF2-14,24.1.S.027E,2024-06-14 21:33:22.754013,2024-06-14 21:34:49.604013
76,FOF2-14,24.1.S.027E,2024-06-14 21:35:50.846994,2024-06-14 21:35:57.146994
77,FOF2-3,24.1.S.028E,2024-03-19 21:00:45.701985,2024-03-19 21:00:53.601985
78,FOF2-3,24.1.S.028E,2024-03-19 21:01:05.371965,2024-03-19 21:01:13.271965
