,sex,height,age
319,female,1.8,48
320,female,1.7,75
321,female,1.54,72
322,female,1.72,54
323,male,1.79,79
324,male,1.82,42
325,female,1.6,57
326,female,1.69,68
327,male,1.7,64
328,female,1.6,71
329,female,1.65,76
330,female,1.76,72
331,male,1.77,65
332,female,1.64,68
333,female,1.65,85
334,male,1.67,47
335,female,1.7,61
336,male,1.78,46
337,female,1.65,58
338,female,1.55,68
339,female,1.65,66
340,male,1.75,59
341,male,1.8,64
342,female,1.74,54
343,male,1.71,68
344,female,1.64,71
345,female,1.68,73
346,male,1.76,61
347,female,1.64,57
348,female,1.65,23
349,female,1.52,47
350,male,1.7,66
351,female,1.58,58
352,male,1.73,64
353,female,1.64,20
354,male,1.76,44
355,female,1.45,84
356,female,1.65,86
357,female,1.58,56
358,female,1.57,55
359,male,1.7,62
360,male,1.72,72
361,male,1.8,68
362,male,1.8,77
363,female,1.62,61
364,female,1.66,58
365,female,1.68,53
366,male,1.7,62
367,female,1.65,63
368,male,1.76,78
369,male,1.74,71
370,male,1.75,75
371,female,1.68,64
372,female,1.6,63
373,female,1.62,82
374,male,1.68,66
375,female,1.67,69
376,female,1.54,74
377,male,1.68,76
378,female,1.65,66
379,female,1.64,53
380,male,1.7,66
381,female,1.67,67
382,male,1.7,53
383,male,1.88,78
384,male,1.62,74
385,female,1.48,57
386,male,1.74,64
387,male,1.73,69
388,female,1.55,68
389,male,1.83,42
390,female,1.64,62
391,female,1.7,34
392,female,1.44,62
393,female,1.64,60
394,male,1.9,35
395,female,1.65,36
396,female,1.6,59
397,female,1.6,70
398,male,1.8,53
399,female,1.58,71
400,male,1.7,45
401,female,1.58,63
402,male,1.77,47
403,male,1.65,56
404,male,1.78,49
405,male,1.76,68
406,female,1.88,58
407,male,1.83,74
408,male,1.69,70
409,female,1.67,72
410,female,1.72,13
411,male,1.65,61
412,female,0.85,59
413,male,1.8,56
414,female,1.65,43
415,female,1.65,61
416,female,1.6,43
417,male,1.72,71
418,male,1.75,46
419,female,1.6,60
420,female,1.57,73
421,female,1.69,75
422,male,1.9,28
423,male,1.56,76
424,male,1.8,72
425,male,1.66,74
426,male,1.78,65
427,female,1.73,62
428,male,1.75,62
429,female,1.63,63
430,female,1.6,63
431,male,1.8,60
432,female,1.73,67
433,female,1.72,24
434,male,1.65,73
435,female,1.68,70
436,female,1.7,47
437,male,1.79,80
438,male,1.75,63
439,female,1.55,73
440,male,1.9,47
441,male,1.68,73
442,male,1.78,43
443,female,1.76,47
444,male,1.8,75
445,female,1.68,64
446,male,1.72,80
447,female,1.76,70
448,male,1.91,76
449,female,1.67,67
450,female,1.53,65
451,male,1.75,64
452,female,1.8,51
453,male,1.78,61
454,male,1.65,73
455,male,1.75,61
456,male,1.72,70
457,female,1.7,87
458,male,1.65,60
459,female,1.75,54
460,male,1.65,61
461,male,1.8,47
462,male,1.83,31
463,female,1.62,34
464,female,1.75,69
465,female,1.48,45
466,female,1.55,70
467,female,1.64,56
468,male,1.8,35
469,male,1.7,52
470,female,1.65,42
471,female,1.59,76
472,female,1.82,47
473,female,1.68,69
474,male,1.7,69
475,female,1.76,64
476,male,1.88,57
477,female,1.6,56
478,female,1.56,74
479,female,1.7,68
480,female,1.65,63
481,male,1.65,59
482,male,1.83,66
483,female,1.63,66
484,male,1.76,46
485,male,1.71,66
486,male,1.75,59
487,female,1.63,61
488,male,1.65,54
489,female,1.65,70
490,male,1.8,60
491,female,1.6,53
492,male,1.67,19
493,female,1.71,19
494,male,1.65,72
495,male,1.82,63
496,female,1.65,67
497,female,1.66,84
498,female,1.7,44
499,male,1.68,79
500,female,1.67,64
501,female,1.64,49
502,female,1.63,71
503,male,1.7,74
504,female,1.65,66
505,female,1.75,70
506,male,2.0,67
507,female,1.7,77
508,male,1.8,54
509,female,1.65,78
510,male,1.78,56
511,female,1.58,72
512,male,1.76,60
513,female,1.6,66
514,male,1.65,66
515,male,1.7,29
516,male,1.77,57
517,male,1.6,60
518,female,1.52,72
519,male,1.76,69
520,male,1.76,74
521,male,1.86,60
522,male,1.67,56
523,female,1.6,84
524,female,1.56,47
525,male,1.78,47
526,male,1.75,59
527,female,1.64,48
528,male,1.76,53
529,female,1.68,78
530,female,1.7,28
531,male,1.73,61
532,male,1.76,61
533,female,1.62,44
534,male,1.65,66
535,female,1.65,37
536,female,1.56,67
537,male,1.85,60
538,female,1.55,78
539,female,1.64,57
540,female,1.6,83
541,female,1.65,73
542,female,1.83,64
543,male,1.6,61
544,female,1.7,80
545,female,1.6,58
546,female,1.58,69
547,female,1.62,58
548,female,1.73,45
549,male,1.7,76
550,female,1.48,49
551,female,1.62,53
552,female,1.7,88
553,male,1.76,55
554,female,1.56,63
555,female,1.67,71
556,female,1.65,68
557,male,1.74,65
558,male,1.73,74
559,male,1.85,64
560,male,1.76,60
561,female,1.6,81
562,male,1.76,87
563,male,1.75,72
564,male,1.75,83
565,female,1.63,50
566,male,1.75,71
567,female,1.52,57
568,male,1.78,60
569,female,1.67,67
570,female,1.65,66
571,male,1.76,69
572,female,1.57,60
573,female,1.76,66
574,female,1.57,33
575,male,1.75,65
576,male,1.75,61
577,female,1.6,72
578,female,1.6,50
579,female,1.75,76
580,female,1.6,41
581,female,1.68,70
582,female,1.59,63
583,female,1.58,52
584,female,1.67,25
585,male,1.65,70
586,female,1.76,61
587,female,1.63,82
588,female,1.59,59
589,female,1.6,74
590,female,1.5,73
591,male,1.71,75
592,male,1.74,73
593,female,1.56,63
594,female,1.58,63
595,female,1.6,50
596,female,1.58,68
