,sex,height,age
11231,female,1.64,67
11232,male,1.82,72
11233,male,1.76,65
11234,male,1.76,54
11235,female,1.67,45
11236,female,1.64,65
11237,female,1.63,70
11238,female,1.63,50
11239,female,1.56,63
11240,male,1.72,66
11241,female,1.71,42
11242,female,1.72,41
11243,female,1.65,34
11244,male,1.8,57
11245,male,1.7,67
11246,female,1.65,70
11247,female,1.63,59
11248,male,1.65,65
11249,female,1.72,74
11250,male,1.75,69
11251,female,1.58,66
11252,female,1.55,28
11253,male,1.62,56
11254,male,1.85,55
11255,female,1.6,51
11256,male,1.68,79
11257,male,1.73,79
11258,female,1.76,55
11259,female,1.6,53
11260,male,1.76,47
11261,male,1.76,66
11262,male,1.68,71
11263,female,1.67,55
11264,female,1.5,62
11265,female,1.56,86
11266,male,1.82,25
11267,female,1.65,43
11268,male,1.78,37
11269,female,1.55,58
11270,female,1.58,70
11271,female,1.63,40
11272,male,1.72,58
11273,male,1.7,74
11274,male,1.82,37
11275,female,1.54,70
11276,female,1.6,79
11277,male,1.7,44
11278,male,1.87,53
11279,male,1.7,41
11280,female,1.66,24
11281,male,1.81,47
11282,female,1.64,64
11283,female,1.62,44
11284,female,1.62,64
11285,male,1.65,66
11286,female,1.67,36
11287,female,1.62,64
11288,female,1.52,69
11289,female,1.5,83
11290,male,1.72,64
11291,female,1.56,74
11292,female,1.67,52
11293,female,1.67,85
11294,male,1.84,60
11295,female,1.55,75
11296,female,1.72,42
11297,female,1.58,66
11298,male,1.76,58
11299,male,1.76,62
11300,male,1.78,58
11301,male,1.8,44
11302,female,1.65,76
11303,male,1.72,76
11304,male,1.8,64
11305,female,1.62,70
11306,female,1.7,23
11307,male,0.74,55
11308,male,1.8,51
11309,male,1.55,83
11310,female,1.64,55
11311,male,1.93,50
11312,female,1.79,43
11313,male,1.68,82
11314,female,1.7,54
11315,male,1.68,71
11316,female,1.6,65
11317,female,1.67,50
11318,female,1.7,63
11319,female,1.64,24
11320,male,1.75,70
11321,female,1.67,71
11322,male,1.73,69
11323,male,1.7,62
11324,male,1.7,48
11325,female,1.58,61
11326,female,1.55,71
11327,female,1.6,65
11328,female,1.51,38
11329,female,1.68,43
11330,male,1.76,44
11331,male,1.8,71
11332,female,1.5,75
11333,male,1.68,16
11334,male,1.8,58
11335,female,1.58,55
11336,female,1.65,75
11337,female,1.64,24
11338,male,1.8,82
11339,female,1.57,53
11340,female,1.54,57
11341,female,1.72,78
11342,male,1.8,76
11343,female,1.48,62
11344,male,1.7,53
11345,male,1.75,43
11346,female,1.7,59
11347,female,1.59,61
11348,male,1.68,71
11349,male,1.72,60
11350,male,1.65,56
11351,male,1.8,43
11352,male,1.65,64
11353,female,1.68,40
11354,male,1.67,68
11355,female,1.64,71
11356,male,1.73,67
11357,female,1.65,59
11358,female,1.58,69
11359,female,1.7,60
11360,male,1.79,59
11361,female,1.68,38
11362,male,1.7,71
11363,female,1.65,49
11364,male,1.76,44
11365,female,1.56,70
11366,female,1.6,75
11367,female,1.72,41
11368,female,1.74,41
11369,female,1.65,64
11370,male,1.66,66
11371,female,1.58,46
11372,female,1.67,62
11373,female,1.72,68
11374,male,1.65,77
11375,female,1.6,71
11376,male,1.7,69
11377,male,1.83,55
11378,male,1.7,73
11379,male,1.76,55
11380,male,1.7,51
11381,male,1.73,65
11382,male,1.76,63
11383,male,1.83,58
11384,male,1.78,40
11385,male,1.76,41
11386,male,1.75,57
11387,female,1.64,61
11388,male,1.78,73
11389,female,1.6,73
11390,male,1.76,55
11391,female,1.56,82
11392,female,1.6,44
11393,female,1.6,68
11394,female,1.6,68
11395,male,1.67,55
11396,female,1.73,43
11397,male,1.78,60
11398,female,1.56,81
11399,male,1.8,78
11400,female,1.6,73
11401,female,1.6,69
11402,female,1.65,44
11403,male,1.7,70
11404,female,1.59,76
11405,male,1.88,55
11406,female,1.7,64
11407,female,1.58,67
11408,male,1.59,66
11409,male,1.84,52
11410,female,1.54,77
11411,male,1.8,37
11412,male,1.75,67
11413,female,1.68,66
11414,female,1.5,57
11415,male,1.8,48
11416,male,1.68,55
11417,female,1.7,36
11418,male,1.83,66
11419,female,1.52,53
11420,female,1.62,62
11421,female,1.58,67
11422,female,1.6,65
11423,male,1.7,67
11424,female,1.67,74
11425,female,1.6,73
11426,female,1.65,64
11427,male,1.64,68
11428,female,1.6,45
11429,male,1.65,56
11430,male,1.82,75
11431,female,1.7,63
11432,male,1.75,66
11433,female,1.53,70
11434,male,1.6,82
11435,male,1.75,55
11436,male,1.83,42
11437,male,1.67,61
11438,female,1.56,63
11439,female,1.65,76
11440,male,1.86,51
11441,male,1.67,72
11442,female,1.58,56
11443,female,1.52,62
11444,female,1.68,59
11445,male,1.62,77
11446,female,1.55,40
11447,female,1.72,33
11448,female,1.65,55
11449,female,1.7,51
11450,male,1.85,62
11451,male,1.88,63
11452,male,1.73,50
11453,female,1.58,54
11454,female,1.55,61
11455,male,1.77,41
11456,female,1.64,43
11457,male,1.8,63
11458,male,1.83,51
11459,female,1.62,56
11460,male,1.7,77
11461,female,1.68,70
11462,female,1.64,67
11463,male,1.81,52
11464,female,1.6,45
11465,female,1.65,30
11466,male,1.72,49
11467,female,1.6,50
11468,male,1.65,89
11469,female,1.7,46
11470,male,1.8,49
11471,male,1.7,76
11472,male,1.73,23
11473,male,1.8,66
11474,female,1.5,65
11475,female,1.58,67
11476,female,1.65,45
11477,male,1.7,82
11478,female,1.65,71
11479,female,1.64,49
11480,female,1.58,66
11481,male,1.7,44
11482,female,1.72,76
11483,female,1.79,65
11484,female,1.55,79
11485,female,1.63,70
11486,female,1.6,73
11487,male,1.76,60
11488,female,1.59,59
11489,female,1.67,75
11490,female,1.6,60
11491,male,1.73,75
11492,male,1.7,71
11493,female,1.78,55
11494,female,1.59,68
11495,female,1.65,85
11496,male,1.65,38
11497,female,1.7,77
11498,female,1.58,65
11499,female,1.65,74
11500,female,1.65,77
11501,female,1.64,63
11502,female,1.65,38
11503,female,1.67,62
11504,male,1.7,66
11505,female,1.65,58
11506,male,1.8,90
11507,female,1.72,52
11508,female,1.7,55
11509,male,1.58,64
11510,female,1.6,51
11511,male,1.75,74
11512,male,1.67,50
11513,female,1.65,62
11514,female,1.7,59
11515,female,1.68,78
11516,male,1.6,82
11517,male,1.89,25
11518,female,1.59,73
11519,male,1.74,67
11520,female,1.68,58
11521,female,1.55,85
11522,female,1.6,64
11523,female,1.68,78
11524,female,1.6,73
11525,male,1.8,78
11526,female,1.65,77
11527,male,1.8,69
11528,male,1.8,53
11529,male,1.83,35
11530,male,1.78,39
11531,male,1.84,37
11532,female,1.72,40
11533,female,1.7,65
11534,male,1.74,29
11535,male,1.76,45
11536,male,1.81,65
11537,female,1.65,27
11538,female,1.68,65
11539,male,1.7,53
11540,male,1.8,50
11541,female,1.6,79
11542,male,1.72,74
11543,female,1.55,71
11544,female,1.65,37
11545,female,1.64,57
11546,male,1.83,55
11547,female,1.65,70
11548,female,1.62,41
11549,female,1.6,53
11550,female,1.63,70
11551,male,1.78,57
11552,male,1.69,71
11553,male,1.7,74
11554,female,1.6,59
11555,male,1.68,73
11556,male,1.72,75
11557,male,1.83,43
11558,female,1.72,50
11559,female,1.7,39
11560,female,1.76,43
11561,female,1.78,32
11562,female,1.65,85
11563,female,1.52,57
11564,female,1.55,83
11565,male,1.63,69
11566,female,1.68,44
11567,female,1.73,71
11568,female,1.68,49
11569,female,1.73,46
11570,female,1.6,64
11571,female,1.6,59
11572,female,1.68,86
11573,male,1.6,67
11574,male,1.8,45
11575,male,1.67,69
11576,male,1.75,42
11577,male,1.76,77
11578,male,1.85,34
11579,female,1.54,66
11580,female,1.63,58
11581,female,1.63,59
11582,female,1.56,33
11583,male,1.86,51
11584,male,1.78,58
11585,male,1.72,85
11586,female,1.75,71
11587,female,1.58,65
11588,female,1.62,60
11589,female,1.65,64
11590,female,1.68,35
11591,female,1.6,46
11592,male,1.68,74
11593,male,1.65,80
11594,female,1.66,81
11595,female,1.71,65
11596,male,1.68,28
11597,male,1.73,55
11598,female,1.56,50
11599,male,1.79,41
11600,female,1.52,68
11601,male,1.68,77
11602,male,1.76,59
11603,female,1.6,63
11604,female,1.65,80
11605,male,1.71,19
11606,female,1.67,47
11607,female,1.68,71
11608,male,1.8,47
11609,female,1.65,40
11610,female,1.57,32
11611,female,1.75,44
11612,male,1.7,87
11613,female,1.7,66
11614,female,1.64,44
11615,female,1.6,76
11616,female,1.58,62
11617,female,1.98,55
11618,male,1.8,61
11619,female,1.73,51
11620,male,1.76,38
11621,female,1.62,31
11622,female,1.58,59
11623,female,1.67,50
11624,male,1.85,81
11625,female,1.65,83
11626,male,1.77,18
11627,male,1.85,53
11628,female,1.63,54
11629,male,1.72,68
11630,female,1.58,56
11631,male,1.8,61
11632,female,1.56,73
11633,female,1.7,65
11634,male,0.68,78
11635,female,1.78,39
11636,female,1.57,29
11637,male,1.88,37
11638,male,1.7,70
11639,male,1.75,39
11640,female,1.67,56
11641,male,1.9,70
11642,female,1.65,68
11643,male,1.89,61
11644,female,1.6,64
11645,male,1.6,71
11646,female,1.53,72
11647,female,1.58,69
11648,female,1.65,63
11649,male,1.74,52
11650,male,1.65,66
11651,male,1.69,69
11652,female,1.54,66
11653,male,1.6,66
11654,female,1.56,49
11655,female,1.6,63
11656,male,1.75,74
11657,female,1.58,61
11658,female,1.63,64
11659,female,1.64,41
11660,female,1.73,40
11661,female,1.43,70
11662,female,1.6,65
11663,male,1.72,62
11664,female,1.58,61
11665,female,1.64,59
11666,female,1.76,71
11667,female,1.65,74
11668,male,1.78,51
11669,female,1.6,35
11670,female,1.72,86
11671,female,1.78,42
11672,male,1.7,74
11673,female,1.56,68
11674,female,1.7,49
11675,female,1.7,91
11676,female,1.63,51
11677,female,1.55,64
11678,female,1.68,39
11679,female,1.64,70
11680,male,1.76,68
11681,female,1.5,70
11682,female,1.62,35
11683,female,1.68,67
11684,female,1.5,77
11685,female,1.5,48
11686,male,1.92,42
11687,male,1.8,39
11688,female,1.5,66
11689,male,1.62,64
11690,male,1.76,57
11691,female,1.73,63
11692,female,1.64,55
11693,male,1.68,77
11694,female,1.7,87
11695,male,1.78,78
11696,female,1.57,59
11697,female,1.6,39
11698,female,1.67,53
11699,male,1.78,55
11700,female,1.58,66
11701,female,1.51,55
11702,male,1.75,53
11703,male,1.7,25
11704,male,1.84,51
11705,male,1.83,63
11706,female,1.6,75
11707,female,1.65,57
11708,female,1.58,59
11709,female,1.59,64
11710,male,1.72,71
11711,female,1.52,69
11712,male,1.65,54
11713,female,1.71,47
11714,male,1.8,18
11715,male,1.76,61
11716,female,1.65,52
11717,male,1.75,65
11718,female,1.55,69
11719,male,1.78,41
11720,female,1.68,53
11721,male,1.76,66
11722,male,1.82,70
11723,male,1.85,64
11724,female,1.57,36
11725,female,1.6,55
11726,female,1.64,55
11727,female,1.7,49
11728,female,1.55,58
11729,male,1.78,65
11730,male,1.77,50
11731,male,1.85,48
11732,male,1.82,52
11733,male,1.78,37
11734,female,1.56,62
11735,female,1.58,67
11736,female,1.7,52
11737,female,1.58,79
11738,female,1.6,62
11739,female,1.54,78
11740,male,1.78,62
11741,male,1.73,55
11742,female,1.71,42
11743,male,1.72,64
11744,female,1.75,54
11745,male,1.78,23
11746,male,1.83,71
11747,male,1.78,75
11748,female,1.65,72
11749,male,1.78,68
11750,female,1.56,63
11751,female,1.67,43
11752,male,1.85,42
11753,male,1.7,66
11754,male,1.72,46
11755,female,1.6,66
11756,female,1.64,52
11757,male,1.86,42
11758,female,1.66,87
11759,female,1.64,63
11760,female,1.7,69
11761,male,1.7,30
11762,female,1.65,58
11763,male,1.76,59
11764,female,1.7,53
11765,female,1.52,71
11766,male,1.82,32
11767,female,1.65,68
11768,female,1.7,71
11769,female,1.65,77
11770,male,1.9,50
11771,male,1.82,60
11772,female,1.73,61
11773,female,1.65,53
11774,male,1.77,69
11775,male,1.64,51
11776,male,1.83,61
11777,female,1.65,84
11778,female,1.69,58
11779,female,1.6,56
11780,female,1.72,65
11781,male,1.73,63
11782,male,1.67,66
11783,male,1.93,40
11784,male,1.66,71
11785,female,1.65,65
11786,female,1.61,66
11787,female,1.64,58
11788,female,1.65,78
11789,male,1.66,65
11790,female,1.6,60
11791,female,1.68,61
11792,male,1.75,67
11793,female,1.72,65
11794,female,1.72,68
11795,female,1.6,45
11796,male,1.78,72
11797,male,1.76,59
11798,female,1.65,78
11799,male,1.82,66
11800,male,1.83,52
11801,male,1.78,60
11802,male,1.7,64
11803,male,1.75,76
11804,male,1.68,81
11805,female,1.69,53
11806,male,1.67,75
11807,female,1.52,52
11808,male,1.8,63
11809,female,1.65,60
11810,male,1.75,77
11811,female,1.7,57
11812,female,1.6,69
11813,male,1.72,44
11814,female,1.54,69
11815,female,1.75,57
11816,male,1.75,63
11817,female,1.8,51
11818,female,1.64,61
11819,male,1.85,52
11820,male,1.78,62
11821,female,1.65,68
11822,female,1.64,53
11823,female,1.65,72
11824,female,1.54,37
11825,female,1.6,78
11826,male,1.84,51
11827,male,1.72,84
11828,male,1.7,75
11829,male,1.72,36
11830,female,1.6,81
11831,female,1.68,48
11832,female,1.6,67
11833,female,1.55,90
11834,female,1.68,43
11835,female,1.7,66
11836,female,1.56,59
11837,female,1.64,65
11838,male,1.75,61
11839,female,1.58,63
11840,female,1.8,35
11841,male,1.8,68
11842,female,1.63,58
11843,female,1.58,50
11844,male,1.8,69
11845,male,1.9,58
11846,female,1.74,45
11847,male,1.75,47
11848,male,1.68,78
11849,male,1.62,57
11850,male,1.8,50
11851,female,1.45,75
11852,male,1.65,68
11853,female,1.64,56
11854,female,1.67,43
11855,male,1.72,42
11856,male,1.72,21
11857,female,1.67,65
11858,male,1.85,55
11859,female,1.7,23
11860,male,1.75,71
11861,female,1.56,74
11862,female,1.56,48
11863,female,1.55,37
11864,male,1.78,64
11865,male,1.95,77
11866,female,1.58,70
11867,male,1.73,73
11868,male,1.75,72
11869,female,1.63,64
11870,male,1.76,57
11871,male,1.68,62
11872,female,1.65,88
11873,male,1.78,70
11874,female,1.54,62
11875,male,1.78,42
11876,male,1.72,66
11877,male,1.85,53
11878,male,1.7,70
11879,female,1.74,77
11880,female,1.65,68
11881,male,1.6,52
11882,female,1.55,62
11883,female,1.58,73
11884,male,1.8,64
11885,female,1.62,70
11886,male,1.52,11
11887,female,1.65,68
11888,female,1.6,58
11889,male,1.78,70
11890,female,1.6,58
11891,female,1.6,60
11892,male,1.75,59
11893,male,1.72,57
11894,female,1.64,59
11895,female,1.5,76
11896,male,1.75,84
11897,male,1.83,43
11898,male,1.73,73
11899,female,1.7,53
11900,female,1.65,62
11901,female,1.65,48
11902,male,1.8,25
11903,male,1.65,86
11904,female,1.6,67
11905,male,1.75,75
11906,female,1.65,71
11907,female,1.6,63
11908,male,1.82,42
11909,female,1.68,53
11910,male,1.76,47
11911,female,1.65,69
11912,female,1.58,56
11913,female,1.5,64
11914,male,1.8,67
11915,female,1.6,55
11916,male,1.7,66
11917,male,1.7,64
11918,female,1.56,72
11919,female,1.57,44
11920,female,1.65,76
11921,female,1.6,73
11922,female,1.64,64
11923,male,1.79,58
11924,female,1.59,59
11925,female,1.7,50
11926,male,1.64,74
11927,female,1.6,75
11928,male,1.87,69
11929,female,1.65,43
11930,female,1.68,52
11931,male,1.91,36
11932,female,1.73,41
11933,female,1.4,29
11934,male,1.79,70
11935,female,1.75,59
11936,male,1.9,55
11937,male,1.72,73
11938,female,1.63,26
11939,male,1.68,91
11940,male,1.75,63
11941,male,1.7,81
11942,male,1.74,68
11943,male,1.78,62
11944,male,1.5,73
11945,female,1.55,73
11946,male,1.77,66
11947,female,1.6,59
11948,female,1.55,64
11949,female,1.65,67
11950,male,1.8,58
11951,female,1.64,60
11952,male,1.8,25
11953,male,1.7,36
11954,female,1.63,67
11955,male,1.79,69
11956,male,1.8,56
11957,female,1.63,60
11958,female,1.63,58
11959,female,1.72,40
11960,female,1.78,67
11961,female,1.58,57
11962,female,1.5,76
11963,male,1.62,51
11964,male,1.65,80
11965,male,1.8,61
11966,male,1.7,68
11967,female,1.7,55
11968,female,1.7,64
11969,female,1.68,76
11970,male,1.78,77
11971,male,1.78,61
11972,female,1.65,73
11973,male,1.76,53
11974,male,1.55,62
11975,female,1.63,82
11976,female,1.58,54
11977,male,0.7,53
11978,female,1.7,76
11979,male,1.78,68
11980,female,1.62,69
11981,female,1.67,65
11982,male,1.78,43
11983,female,1.6,70
11984,female,1.6,67
11985,female,1.54,70
11986,female,1.52,66
11987,female,1.6,70
11988,male,1.78,62
11989,male,1.7,72
11990,female,1.54,72
11991,male,1.8,16
11992,female,1.83,38
11993,male,1.75,59
11994,male,1.87,63
11995,female,1.58,57
11996,male,1.76,71
11997,male,1.76,44
11998,male,1.78,53
11999,female,1.6,59
12000,female,1.6,47
12001,female,1.75,51
12002,female,1.68,61
12003,female,1.08,72
12004,female,1.64,42
12005,male,1.67,61
12006,female,1.5,64
12007,female,1.63,56
12008,male,1.75,64
12009,female,1.7,47
12010,male,1.78,67
12011,female,1.61,35
12012,female,1.63,27
12013,female,1.65,81
12014,female,1.64,45
12015,male,1.76,64
12016,female,1.56,79
12017,female,1.7,62
12018,male,1.7,83
12019,male,1.72,72
12020,male,1.65,41
12021,female,1.6,54
12022,male,1.8,39
12023,female,1.58,58
12024,male,1.74,62
12025,female,1.58,76
12026,male,1.55,65
12027,female,1.62,65
12028,female,1.58,80
12029,male,1.55,83
12030,male,1.92,67
12031,female,1.6,64
12032,male,1.65,67
12033,male,1.7,61
12034,male,1.9,44
12035,female,1.65,68
12036,female,1.56,75
12037,male,1.76,43
12038,male,1.72,69
12039,male,1.68,60
12040,female,1.7,54
12041,female,1.5,84
12042,female,1.85,39
12043,female,1.64,70
12044,female,1.59,51
12045,female,1.68,65
12046,male,1.78,72
12047,male,1.7,56
12048,female,1.54,66
12049,female,1.55,76
12050,female,1.61,20
12051,female,1.7,59
12052,female,1.7,42
12053,male,1.78,43
12054,male,1.8,65
12055,male,1.7,85
12056,male,1.96,66
12057,male,1.67,79
12058,male,1.92,49
12059,female,1.7,59
12060,male,1.7,43
12061,female,1.55,76
12062,female,1.7,53
12063,male,1.72,62
12064,male,1.85,65
12065,male,1.68,86
12066,male,1.81,50
12067,female,1.65,72
12068,female,1.7,58
12069,male,1.77,84
12070,female,1.7,19
12071,female,1.5,80
12072,male,1.72,69
12073,female,1.65,73
12074,female,1.68,60
12075,male,1.7,59
12076,female,1.67,49
12077,female,1.68,42
12078,male,1.75,67
12079,female,1.65,61
12080,male,1.8,49
12081,female,1.59,61
12082,male,1.75,50
12083,female,1.6,79
12084,female,1.6,35
12085,male,1.65,61
12086,male,1.83,67
12087,female,0.69,56
12088,male,1.72,46
12089,female,1.76,53
12090,female,1.68,79
12091,male,1.62,68
12092,male,1.65,71
12093,female,1.6,62
12094,female,1.6,67
12095,male,1.72,55
12096,female,1.75,65
12097,female,1.55,71
12098,male,1.8,60
12099,female,1.56,71
12100,female,1.69,53
12101,female,1.68,68
12102,female,1.67,57
12103,male,1.93,56
12104,male,1.84,58
12105,female,1.68,54
12106,female,1.63,38
12107,female,1.67,47
12108,female,1.6,77
12109,female,1.63,22
12110,female,1.68,75
12111,female,1.56,70
12112,male,1.76,56
12113,female,1.64,69
12114,male,1.84,65
12115,female,1.67,71
12116,female,1.52,77
12117,female,1.58,70
12118,female,1.67,63
12119,male,1.75,30
12120,female,1.67,68
12121,female,1.67,26
12122,female,1.65,69
12123,male,1.75,65
12124,female,1.7,39
12125,female,1.63,78
12126,male,1.6,85
12127,female,1.5,67
12128,female,1.55,61
12129,female,1.58,60
12130,female,1.68,49
12131,female,1.63,34
12132,female,1.64,42
12133,female,1.66,65
12134,male,1.85,27
12135,male,1.7,62
12136,male,1.72,63
12137,male,1.83,36
12138,female,1.54,75
12139,female,1.55,69
12140,male,1.68,74
12141,male,1.72,37
12142,male,1.78,58
12143,male,1.55,47
12144,male,1.7,76
12145,female,1.62,53
12146,female,1.55,88
12147,male,1.75,65
12148,female,1.59,67
12149,female,1.68,79
12150,male,1.8,49
12151,male,1.74,74
12152,male,1.83,68
12153,male,1.81,49
12154,male,1.96,55
12155,male,1.86,50
12156,male,1.76,78
12157,male,1.67,54
12158,male,1.8,56
12159,female,1.55,45
12160,male,1.87,68
12161,male,1.89,46
12162,male,1.76,41
12163,female,1.5,80
12164,male,1.83,67
12165,female,1.67,75
12166,female,1.78,49
12167,female,1.59,64
12168,male,0.77,54
12169,female,1.6,73
12170,female,1.65,60
12171,female,1.64,73
12172,female,1.65,63
12173,male,1.86,44
12174,male,1.7,62
12175,female,1.7,81
12176,female,1.6,55
12177,male,1.9,41
12178,male,1.7,56
12179,male,1.75,45
12180,male,1.8,58
12181,female,1.6,56
12182,female,1.7,66
12183,female,0.7,47
12184,male,1.87,22
12185,female,1.65,45
12186,male,1.75,40
12187,male,1.78,57
12188,female,1.67,64
12189,male,1.76,47
12190,female,1.63,55
12191,female,1.65,30
12192,female,1.62,65
12193,male,1.68,70
12194,male,1.87,46
12195,male,1.75,44
12196,female,1.65,76
12197,male,1.83,38
12198,male,1.7,74
12199,male,1.78,72
12200,female,1.64,47
12201,female,1.7,52
12202,male,1.8,54
12203,female,1.7,61
12204,female,1.62,60
12205,male,1.73,64
12206,male,1.82,64
12207,female,1.7,74
12208,male,1.7,53
12209,female,1.6,70
12210,male,1.68,69
12211,male,1.7,44
12212,male,1.68,60
12213,female,1.67,62
12214,male,1.7,42
12215,female,1.58,49
12216,female,1.68,45
12217,female,1.65,77
12218,female,1.64,58
12219,male,1.7,66
12220,female,1.6,80
12221,male,1.7,59
12222,female,1.58,69
12223,male,1.78,56
12224,female,1.63,73
12225,male,1.9,77
12226,female,1.6,76
12227,male,1.82,33
12228,female,1.65,61
12229,female,1.53,48
12230,male,1.84,61
12231,female,1.48,54
12232,male,1.62,32
12233,female,1.63,63
12234,male,1.71,53
12235,male,1.68,71
12236,male,1.8,62
12237,female,1.6,60
12238,male,1.69,66
12239,male,1.66,68
12240,female,1.75,66
12241,female,1.6,49
12242,female,1.5,70
12243,female,1.6,79
12244,male,1.7,67
12245,female,1.6,67
12246,male,1.68,60
12247,male,1.72,47
12248,female,1.67,43
12249,male,1.87,42
12250,female,1.69,44
12251,female,1.54,69
12252,male,1.7,80
12253,female,1.58,63
12254,female,1.83,44
12255,female,1.7,51
12256,male,1.82,71
12257,female,1.5,77
12258,female,1.62,64
12259,male,1.8,65
12260,male,1.73,67
12261,female,1.65,65
12262,male,1.78,73
12263,male,1.72,63
12264,male,1.68,69
12265,male,1.76,60
12266,female,1.6,76
12267,male,1.68,63
12268,male,1.75,67
12269,male,1.72,56
12270,male,1.65,62
12271,male,1.93,47
12272,female,1.68,76
12273,female,1.67,45
12274,female,1.64,59
12275,female,1.56,31
12276,female,1.61,57
12277,male,1.94,18
12278,male,1.85,69
12279,male,1.65,50
12280,male,1.74,65
12281,female,1.6,72
12282,female,1.65,65
12283,male,1.7,56
12284,male,1.72,65
12285,female,1.58,41
12286,male,1.7,77
12287,female,1.6,82
12288,male,1.6,79
12289,male,1.7,54
12290,female,1.64,57
12291,female,1.65,32
12292,male,1.75,64
12293,male,1.63,64
12294,male,1.8,57
12295,female,1.56,17
12296,female,1.6,43
12297,male,1.65,29
12298,male,1.67,52
12299,female,1.75,58
12300,male,1.65,68
12301,male,1.74,73
12302,female,1.69,69
12303,male,1.7,60
12304,male,1.7,53
12305,male,1.65,78
12306,male,1.64,44
12307,female,1.68,65
12308,female,1.64,44
12309,female,1.78,89
12310,female,1.65,72
12311,female,1.65,66
12312,male,1.82,74
12313,male,1.63,54
12314,female,1.63,74
12315,male,1.75,79
12316,male,1.65,53
12317,female,1.56,42
12318,female,1.65,50
12319,female,1.5,84
12320,male,1.75,59
12321,male,1.6,53
12322,male,1.7,66
12323,male,1.7,34
12324,male,1.8,45
12325,male,1.75,46
12326,male,1.65,69
12327,male,1.76,57
12328,male,1.79,69
12329,male,1.8,25
12330,male,1.75,69
12331,male,1.76,43
12332,male,1.82,42
12333,female,1.68,69
12334,male,1.82,55
12335,male,1.65,69
12336,female,1.7,52
12337,female,1.56,46
12338,male,1.75,51
12339,male,1.75,73
12340,female,1.72,81
12341,male,1.78,68
12342,male,1.76,68
12343,male,1.95,27
12344,female,1.56,68
12345,male,1.5,28
12346,male,1.7,54
12347,female,1.72,18
12348,female,1.6,64
12349,female,1.5,72
12350,female,1.58,45
12351,female,1.55,71
12352,male,1.71,69
12353,female,1.55,79
12354,female,1.56,58
12355,female,1.65,59
12356,female,1.65,68
12357,male,1.78,17
12358,male,1.59,56
12359,female,1.8,72
12360,female,1.6,69
12361,female,1.52,63
12362,female,1.5,82
12363,female,1.65,48
12364,female,1.7,68
12365,male,1.9,50
12366,female,1.78,70
12367,female,1.67,75
12368,male,1.76,53
12369,male,1.72,64
12370,male,1.82,55
12371,female,1.56,67
12372,female,1.62,49
12373,male,1.7,53
12374,female,1.56,44
12375,male,1.75,79
12376,female,1.76,75
12377,female,1.56,59
12378,female,1.67,63
12379,female,1.63,60
12380,male,1.78,72
12381,female,1.68,68
12382,female,1.62,56
12383,male,1.78,50
12384,female,1.6,62
12385,female,1.67,73
12386,female,1.6,71
12387,male,1.8,72
12388,female,1.62,55
12389,female,1.65,49
12390,female,1.64,46
12391,female,1.67,62
12392,male,1.7,67
12393,female,1.58,68
12394,female,1.6,44
12395,female,1.48,77
12396,female,1.7,59
12397,female,1.64,83
12398,female,1.65,46
12399,female,1.56,64
12400,female,1.62,47
12401,male,1.7,57
12402,female,1.6,48
12403,female,1.64,65
12404,male,1.7,84
12405,male,1.64,73
12406,male,1.7,72
12407,female,1.58,78
12408,female,1.69,77
12409,female,1.65,43
12410,male,1.76,29
12411,male,1.7,75
12412,female,1.6,71
12413,female,1.67,43
12414,male,1.78,52
12415,female,1.67,73
12416,female,1.56,73
12417,male,1.78,46
12418,female,1.62,79
12419,male,1.7,61
12420,male,1.7,76
12421,male,1.65,62
12422,male,1.86,51
12423,female,1.7,40
12424,female,1.55,79
12425,male,1.75,55
12426,male,1.8,45
12427,female,1.78,44
12428,male,1.82,51
12429,female,1.7,64
12430,female,1.56,67
12431,female,1.65,64
12432,female,1.62,56
12433,female,1.7,62
12434,male,1.7,73
12435,male,1.8,57
12436,female,1.58,50
12437,male,1.75,38
12438,female,1.7,63
12439,female,1.6,26
12440,male,1.75,68
12441,female,1.64,49
12442,male,1.65,84
12443,female,1.65,65
12444,male,1.7,27
12445,female,1.74,58
12446,female,1.56,72
12447,female,1.7,55
12448,female,1.64,47
12449,male,1.7,61
12450,female,1.5,68
12451,female,1.57,85
12452,male,1.64,76
12453,male,1.7,72
12454,male,1.85,65
12455,male,1.73,59
12456,female,1.65,25
12457,male,1.82,60
12458,female,1.62,81
12459,male,1.86,67
12460,male,1.8,64
12461,male,1.73,48
12462,male,1.62,58
12463,female,1.65,81
12464,female,1.58,73
12465,male,1.81,43
12466,male,1.78,55
12467,male,1.8,63
12468,female,1.73,39
12469,female,1.56,72
12470,female,1.68,73
12471,female,1.6,58
12472,female,1.67,35
12473,female,1.67,56
12474,male,1.8,73
12475,female,1.7,29
12476,female,1.65,69
12477,female,1.6,65
12478,female,1.7,76
12479,female,1.56,80
12480,female,1.66,45
12481,male,1.78,52
12482,female,1.64,49
12483,female,1.62,71
12484,female,1.5,87
12485,male,1.8,68
12486,female,1.64,53
12487,female,1.57,65
12488,male,1.7,64
12489,male,1.71,82
12490,male,1.79,38
12491,male,1.76,58
12492,female,1.58,64
12493,female,1.58,61
12494,female,1.65,64
12495,male,1.7,74
12496,male,1.72,76
12497,female,1.58,76
12498,female,1.65,64
12499,male,1.65,76
12500,female,1.65,69
12501,male,1.82,52
12502,female,1.58,79
